ceid,cename,ccid,miid,page_start,page_end,pages,page_start_position,two_colored,four_colored,miname,mcid,mcname,date,price,ccname
CE58520,其之四百八十八 トランクスと悟天、精神と時の部屋に入る,C87667,M543577,89.0,101.0,13.0,0.2018140589569161,False,False,週刊少年ジャンプ 1994年 表示号数43,C119459,週刊少年ジャンプ,1994-10-10,200.0,DRAGON　BALL
CE58540,其之四百八十七 人類絶滅,C87667,M543578,83.0,95.0,13.0,0.2,False,False,週刊少年ジャンプ 1994年 表示号数42,C119459,週刊少年ジャンプ,1994-10-03,190.0,DRAGON　BALL
CE58559,其之四百八十六 恐怖の新魔人ブウ,C87667,M543579,91.0,103.0,13.0,0.2151300236406619,False,False,週刊少年ジャンプ 1994年 表示号数41,C119459,週刊少年ジャンプ,1994-09-26,200.0,DRAGON　BALL
CE58579,其之四百八十五 ふたりの魔人ブウ・・・そして・・・,C87667,M543580,81.0,93.0,13.0,0.2030075187969924,False,False,週刊少年ジャンプ 1994年 表示号数40,C119459,週刊少年ジャンプ,1994-09-19,190.0,DRAGON　BALL
CE58598,其之四百八十四 怒りの産み出したもの,C87667,M543581,59.0,71.0,13.0,0.1486146095717884,False,False,週刊少年ジャンプ 1994年 表示号数39,C119459,週刊少年ジャンプ,1994-09-12,190.0,DRAGON　BALL
CE58618,其之四百八十三 魔人ブウと仲間たち,C87667,M543582,87.0,99.0,13.0,0.1839323467230444,False,False,週刊少年ジャンプ 1994年 表示号数38,C119459,週刊少年ジャンプ,1994-09-05,200.0,DRAGON　BALL
CE58637,其之四百八十二 いよいよ完成!超フュージョン!!,C87667,M543583,14.0,31.0,18.0,0.0294736842105263,True,True,週刊少年ジャンプ 1994年 表示号数36,C119459,週刊少年ジャンプ,1994-08-22,200.0,DRAGON　BALL
CE58659,其之四百八十一 地球軍、最後の秘密兵器!!,C87667,M543584,63.0,75.0,13.0,0.1349036402569593,False,False,週刊少年ジャンプ 1994年 表示号数35,C119459,週刊少年ジャンプ,1994-08-15,200.0,DRAGON　BALL
CE58679,其之四百八十 ついにできたフュージョン!!,C87667,M543585,57.0,69.0,13.0,0.1334894613583138,False,False,週刊少年ジャンプ 1994年 表示号数34,C119459,週刊少年ジャンプ,1994-08-08,190.0,DRAGON　BALL
CE58698,其之四百七十九 ゼットソードともうひとりの界王神,C87667,M543586,51.0,63.0,13.0,0.1156462585034013,False,False,週刊少年ジャンプ 1994年 表示号数33,C119459,週刊少年ジャンプ,1994-08-01,200.0,DRAGON　BALL
CE58718,其之四百七十八 孫悟飯の行方,C87667,M543587,47.0,59.0,13.0,0.1075514874141876,False,False,週刊少年ジャンプ 1994年 表示号数32,C119459,週刊少年ジャンプ,1994-07-25,200.0,DRAGON　BALL
CE58739,其之四百七十七 孫悟空 帰る,C87667,M543588,69.0,81.0,13.0,0.1458773784355179,False,False,週刊少年ジャンプ 1994年 表示号数31,C119459,週刊少年ジャンプ,1994-07-18,200.0,DRAGON　BALL
CE58760,其之四百七十六 孫悟空の残された時間,C87667,M543589,71.0,83.0,13.0,0.1702637889688249,False,False,週刊少年ジャンプ 1994年 表示号数30,C119459,週刊少年ジャンプ,1994-07-11,190.0,DRAGON　BALL
CE58780,其之四百七十五 見え始めた魔人ブウの真価,C87667,M543590,77.0,89.0,13.0,0.1794871794871795,False,False,週刊少年ジャンプ 1994年 表示号数29,C119459,週刊少年ジャンプ,1994-07-04,200.0,DRAGON　BALL
CE58802,其之四百七十四 限界!!超サイヤ人3,C87667,M543591,83.0,95.0,13.0,0.205955334987593,False,False,週刊少年ジャンプ 1994年 表示号数28,C119459,週刊少年ジャンプ,1994-06-27,190.0,DRAGON　BALL
CE58820,其之四百七十三 孫悟空 魔人ブウに接触!,C87667,M543592,47.0,59.0,13.0,0.1166253101736972,False,False,週刊少年ジャンプ 1994年 表示号数27,C119459,週刊少年ジャンプ,1994-06-20,190.0,DRAGON　BALL
CE58840,其之四百七十二 ゼットソード,C87667,M543593,43.0,55.0,13.0,0.1072319201995012,False,False,週刊少年ジャンプ 1994年 表示号数26,C119459,週刊少年ジャンプ,1994-06-13,190.0,DRAGON　BALL
CE58862,其之四百七十一 試練の時,C87667,M543594,61.0,73.0,13.0,0.1402298850574712,False,False,週刊少年ジャンプ 1994年 表示号数25,C119459,週刊少年ジャンプ,1994-06-06,200.0,DRAGON　BALL
CE58884,其之四百七十 バビディの復讐戦はじまる!!,C87667,M543595,83.0,95.0,13.0,0.1882086167800453,False,False,週刊少年ジャンプ 1994年 表示号数24,C119459,週刊少年ジャンプ,1994-05-30,200.0,DRAGON　BALL
CE58906,其之四百六十九 かすかな希望,C87667,M543596,61.0,73.0,13.0,0.1528822055137844,False,False,週刊少年ジャンプ 1994年 表示号数23,C119459,週刊少年ジャンプ,1994-05-23,190.0,DRAGON　BALL
